id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q7662504,Synnøve Konglevoll,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q879359,Bjarne Håkon Hanssen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q1770676,Marit Arnstad,2001-10-01,,Q493685,Senterpartiet,,,Q1575198
Q11959584,Aud Gaundal,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q6032011,Inge Ryan,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q935613,Per Sandberg,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q4794622,Arne Lyngstad,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q4560750,Gunhild Øyangen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q706631,Børge Brende,2001-10-01,,Q586364,Høyre,,,Q1575198
Q329776,Øystein Djupedal,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q527177,Trond Giske,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q5113280,Christopher Stensaker,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q180988,Ola T. Lånke,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q6832867,Michael Momyr,2001-10-01,,Q586364,Høyre,,,Q1575198
Q5618906,Gunn Karin Gjul,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q6033575,Ingvild Vaggen Malvik,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q6914493,Morten Lund,2001-10-01,,Q493685,Senterpartiet,,,Q1575198
Q6514988,Svein Flåtten,2001-10-01,,Q586364,Høyre,,,Q1575198
Q1350827,Jørgen Kosmo,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q7166778,Per Ove Width,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q11974058,Hans Kristian Hogsnes,2001-10-01,,Q586364,Høyre,,,Q1575198
Q1770339,Inga Marte Thorkildsen,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q5367440,Elsa Skarbøvik,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q4768436,Anne Helen Rui,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q7166677,Per Erik Monsen,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q4560141,Signe Øye,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q6775390,Martin Engeset,2001-10-01,,Q586364,Høyre,,,Q1575198
Q8079322,Øystein Hedstrøm,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q6513933,Svein Roald Hansen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q7077391,Odd Holten,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q521960,May Hansen,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q1770438,Ingjerd Schou,2001-10-01,,Q586364,Høyre,,,Q1575198
Q5716507,Henrik Rød,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
